gn:id,wof:id
541951,102002053
575383,102004035
470437,102002055
529650,102004037
553514,102016001
478018,102002057
1505453,102012067
579285,102016003
548658,102004039
542423,102002059
1536289,102012069
551043,102002061
501283,102004041
1494882,102012071
550574,102002063
572365,102004043
1495100,102012073
511923,102002065
499228,102002069
494304,102002077
485599,102002079
3969313,102018001
470530,102002081
1492517,102012077
3872677,102017001
3969755,102018003
1507787,102013013
1485661,102012079
543704,102002083
1500694,102012081
479619,102002087
3969858,102018005
1488788,102012083
473263,102002089
1488135,102012085
3872900,102017003
533916,102002091
1495925,102012087
3872988,102017005
475938,102002093
1487394,102012089
1501690,102012095
524901,102003033
1510334,102012097
566546,102003035
1487074,102012099
512089,102003037
1508357,102012101
1499956,102012103
1503137,102012105
491480,102003047
1511382,102012107
518346,102003049
520473,102012109
1626670,102019001
1495232,102012113
518122,102003053
1626671,102019003
1485133,102012115
472399,102003055
1508414,102012117
1496367,102012123
1488780,102012125
1503821,102012127
1638173,102020001
1489173,102012131
1509157,102012133
1510421,102012137
1503372,102012139
1650300,102021001
1507316,102012141
1498511,102012143
1498940,102012145
1509319,102012149
1498076,102012151
1638240,102020003
505112,102002095
1493422,102012153
1650317,102021005
505230,102002097
539385,102002099
1493741,102012157
1650319,102021007
469960,102002101
1490750,102012159
515403,102002105
1510541,102012161
545353,102002107
1500997,102012163
542908,102002109
1507129,102012167
1650328,102021009
485951,102002113
1501402,102012169
1626674,102019007
550988,102002115
1487824,102012171
1650352,102021011
476062,102002117
6821888,102022001
569154,102016005
1638352,102020005
534560,102002119
1626698,102019009
1638368,102020007
1638380,102020009
491085,102016009
517303,102016011
553138,102016013
576652,102016019
568843,102016021
1734586,102023003
1734594,102023005
7792200,102024001
7796817,102024003
1638385,102020011
7797005,102024005
494486,102011065
1638452,102020015
532119,102011071
7799988,102024007
1638479,102020017
1638501,102020019
1638515,102020021
7845656,102024011
7856981,102024013
1638532,102020023
3873061,102017009
1638533,102020025
3873116,102017011
8306753,102024015
3873136,102017013
1638535,102020027
3451353,101953009
8356577,102024017
584268,102004045
3873145,102017015
498760,102004049
3873150,102017017
553125,102004051
491483,102004053
3873160,102017019
484527,102004055
544505,102004057
3873162,102017021
542942,102004059
3873249,102017023
516197,102004061
3873312,102017027
535088,102004063
545001,102004067
3873372,102017029
490069,102004069
548506,102004071
551769,102004075
3873414,102017031
484346,102004077
3527431,102001007
569907,102011073
498708,102011077
559731,102011081
563471,102011083
577181,102011087
492071,102011089
557596,102011091
515003,102011093
529073,102011099
467677,102011101
484034,102011105
538094,102011107
5160028,101712001
